RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818328066	1	3.0.1
USER	Users	1	START	1545818330600	1545818330600
REQUEST	1		Search	1545818330648	1545818330697	OK	 
REQUEST	1		Search	1545818330775	1545818330805	OK	 
USER	Users	2	START	1545818330820	1545818330820
REQUEST	2		Search	1545818330822	1545818330855	OK	 
REQUEST	1		Search	1545818330810	1545818330879	OK	 
REQUEST	2		Search	1545818330914	1545818330945	OK	 
REQUEST	1		Search	1545818330937	1545818330966	OK	 
REQUEST	2		Search	1545818330947	1545818330976	OK	 
REQUEST	1		Search	1545818330969	1545818331002	OK	 
USER	Users	1	END	1545818330600	1545818331008
USER	Users	3	START	1545818331020	1545818331020
REQUEST	3		Search	1545818331022	1545818331043	OK	 
REQUEST	3		Search	1545818331046	1545818331074	OK	 
REQUEST	3		Search	1545818331080	1545818331122	OK	 
REQUEST	3		Search	1545818331126	1545818331187	OK	 
USER	Users	4	START	1545818331219	1545818331219
REQUEST	2		Search	1545818330979	1545818331206	OK	 
REQUEST	4		Search	1545818331220	1545818331257	OK	 
REQUEST	3		Search	1545818331198	1545818331276	OK	 
USER	Users	3	END	1545818331020	1545818331287
REQUEST	2		Search	1545818331248	1545818331301	OK	 
USER	Users	2	END	1545818330820	1545818331304
REQUEST	4		Search	1545818331268	1545818331318	OK	 
REQUEST	4		Search	1545818331321	1545818331376	OK	 
USER	Users	5	START	1545818331419	1545818331419
REQUEST	4		Search	1545818331384	1545818331427	OK	 
USER	Users	6	START	1545818331619	1545818331619
USER	Users	7	START	1545818331818	1545818331818
USER	Users	8	START	1545818332019	1545818332019
USER	Users	9	START	1545818332219	1545818332219
USER	Users	10	START	1545818332420	1545818332420
REQUEST	10		Search	1545818332420	1545818332549	OK	 
REQUEST	8		Search	1545818332020	1545818332559	OK	 
REQUEST	7		Search	1545818331820	1545818332598	OK	 
USER	Users	11	START	1545818332621	1545818332621
REQUEST	10		Search	1545818332559	1545818332641	OK	 
REQUEST	9		Search	1545818332220	1545818332648	OK	 
REQUEST	4		Search	1545818331432	1545818332660	OK	 
USER	Users	4	END	1545818331219	1545818332679
REQUEST	5		Search	1545818331420	1545818332631	OK	 
REQUEST	7		Search	1545818332601	1545818332703	OK	 
REQUEST	9		Search	1545818332650	1545818332707	OK	 
REQUEST	11		Search	1545818332623	1545818332707	OK	 
REQUEST	6		Search	1545818331621	1545818332713	OK	 
REQUEST	10		Search	1545818332648	1545818332777	OK	 
REQUEST	9		Search	1545818332713	1545818332792	OK	 
USER	Users	12	START	1545818332812	1545818332812
REQUEST	6		Search	1545818332716	1545818332819	OK	 
REQUEST	8		Search	1545818332561	1545818332828	OK	 
REQUEST	10		Search	1545818332780	1545818332838	OK	 
REQUEST	11		Search	1545818332715	1545818332840	OK	 
REQUEST	5		Search	1545818332681	1545818332842	OK	 
REQUEST	6		Search	1545818332821	1545818332853	OK	 
REQUEST	7		Search	1545818332706	1545818332865	OK	 
REQUEST	8		Search	1545818332834	1545818332871	OK	 
REQUEST	6		Search	1545818332859	1545818332938	OK	 
REQUEST	9		Search	1545818332801	1545818332950	OK	 
REQUEST	8		Search	1545818332880	1545818332944	OK	 
REQUEST	5		Search	1545818332846	1545818332970	OK	 
REQUEST	11		Search	1545818332843	1545818333008	OK	 
USER	Users	13	START	1545818333009	1545818333009
REQUEST	5		Search	1545818332973	1545818333017	OK	 
REQUEST	12		Search	1545818332813	1545818333034	OK	 
REQUEST	8		Search	1545818332969	1545818333048	OK	 
USER	Users	8	END	1545818332019	1545818333049
REQUEST	5		Search	1545818333032	1545818333071	OK	 
USER	Users	5	END	1545818331419	1545818333073
REQUEST	6		Search	1545818332942	1545818333076	OK	 
USER	Users	6	END	1545818331619	1545818333083
REQUEST	7		Search	1545818332869	1545818333104	OK	 
REQUEST	9		Search	1545818332955	1545818333105	OK	 
USER	Users	9	END	1545818332219	1545818333111
REQUEST	11		Search	1545818333018	1545818333107	OK	 
REQUEST	12		Search	1545818333036	1545818333127	OK	 
REQUEST	13		Search	1545818333018	1545818333156	OK	 
REQUEST	12		Search	1545818333134	1545818333158	OK	 
REQUEST	11		Search	1545818333116	1545818333157	OK	 
USER	Users	11	END	1545818332621	1545818333167
REQUEST	7		Search	1545818333106	1545818333185	OK	 
USER	Users	7	END	1545818331818	1545818333187
REQUEST	13		Search	1545818333159	1545818333188	OK	 
USER	Users	14	START	1545818333209	1545818333209
REQUEST	13		Search	1545818333190	1545818333216	OK	 
REQUEST	10		Search	1545818332841	1545818333241	OK	 
USER	Users	10	END	1545818332420	1545818333280
REQUEST	12		Search	1545818333160	1545818333277	OK	 
REQUEST	13		Search	1545818333219	1545818333303	OK	 
REQUEST	14		Search	1545818333210	1545818333331	OK	 
REQUEST	13		Search	1545818333305	1545818333367	OK	 
USER	Users	13	END	1545818333009	1545818333371
REQUEST	14		Search	1545818333334	1545818333371	OK	 
USER	Users	15	START	1545818333409	1545818333409
REQUEST	14		Search	1545818333376	1545818333441	OK	 
REQUEST	15		Search	1545818333410	1545818333458	OK	 
REQUEST	12		Search	1545818333283	1545818333503	OK	 
USER	Users	12	END	1545818332812	1545818333508
REQUEST	15		Search	1545818333467	1545818333521	OK	 
USER	Users	16	START	1545818333610	1545818333610
REQUEST	15		Search	1545818333525	1545818333680	OK	 
REQUEST	14		Search	1545818333444	1545818333687	OK	 
REQUEST	15		Search	1545818333682	1545818333732	OK	 
REQUEST	16		Search	1545818333611	1545818333739	OK	 
REQUEST	14		Search	1545818333693	1545818333751	OK	 
USER	Users	14	END	1545818333209	1545818333753
REQUEST	15		Search	1545818333734	1545818333782	OK	 
USER	Users	15	END	1545818333409	1545818333784
REQUEST	16		Search	1545818333741	1545818333796	OK	 
USER	Users	17	START	1545818333809	1545818333809
REQUEST	17		Search	1545818333810	1545818333840	OK	 
REQUEST	16		Search	1545818333798	1545818333868	OK	 
REQUEST	16		Search	1545818333870	1545818333921	OK	 
REQUEST	17		Search	1545818333842	1545818333952	OK	 
REQUEST	17		Search	1545818333955	1545818333983	OK	 
USER	Users	18	START	1545818334008	1545818334008
REQUEST	16		Search	1545818333932	1545818334014	OK	 
USER	Users	16	END	1545818333610	1545818334025
REQUEST	17		Search	1545818333985	1545818334049	OK	 
REQUEST	18		Search	1545818334010	1545818334072	OK	 
REQUEST	17		Search	1545818334053	1545818334108	OK	 
USER	Users	17	END	1545818333809	1545818334112
REQUEST	18		Search	1545818334080	1545818334114	OK	 
REQUEST	18		Search	1545818334119	1545818334184	OK	 
USER	Users	19	START	1545818334209	1545818334209
REQUEST	18		Search	1545818334197	1545818334221	OK	 
REQUEST	19		Search	1545818334212	1545818334267	OK	 
REQUEST	18		Search	1545818334223	1545818334267	OK	 
USER	Users	18	END	1545818334008	1545818334271
REQUEST	19		Search	1545818334269	1545818334302	OK	 
REQUEST	19		Search	1545818334306	1545818334347	OK	 
REQUEST	19		Search	1545818334350	1545818334389	OK	 
USER	Users	20	START	1545818334409	1545818334409
REQUEST	20		Search	1545818334410	1545818334453	OK	 
REQUEST	19		Search	1545818334391	1545818334463	OK	 
USER	Users	19	END	1545818334209	1545818334469
USER	Users	21	START	1545818334609	1545818334609
REQUEST	21		Search	1545818334610	1545818334677	OK	 
REQUEST	21		Search	1545818334687	1545818334739	OK	 
REQUEST	20		Search	1545818334457	1545818334631	OK	 
USER	Users	22	START	1545818334809	1545818334809
REQUEST	20		Search	1545818334777	1545818334809	OK	 
REQUEST	21		Search	1545818334744	1545818334807	OK	 
REQUEST	22		Search	1545818334810	1545818334872	OK	 
REQUEST	21		Search	1545818334832	1545818334872	OK	 
REQUEST	20		Search	1545818334814	1545818334875	OK	 
REQUEST	22		Search	1545818334874	1545818334907	OK	 
REQUEST	21		Search	1545818334875	1545818334952	OK	 
USER	Users	21	END	1545818334609	1545818334956
REQUEST	22		Search	1545818334908	1545818334959	OK	 
USER	Users	23	START	1545818335011	1545818335011
REQUEST	22		Search	1545818334963	1545818335012	OK	 
REQUEST	20		Search	1545818334878	1545818335019	OK	 
USER	Users	20	END	1545818334409	1545818335034
REQUEST	23		Search	1545818335011	1545818335056	OK	 
REQUEST	22		Search	1545818335015	1545818335059	OK	 
USER	Users	22	END	1545818334809	1545818335061
REQUEST	23		Search	1545818335058	1545818335100	OK	 
USER	Users	24	START	1545818335208	1545818335208
USER	Users	25	START	1545818335408	1545818335408
USER	Users	26	START	1545818335610	1545818335610
USER	Users	27	START	1545818335809	1545818335809
REQUEST	23		Search	1545818335104	1545818335933	OK	 
REQUEST	26		Search	1545818335611	1545818335953	OK	 
REQUEST	25		Search	1545818335409	1545818335958	OK	 
REQUEST	25		Search	1545818335962	1545818336002	OK	 
REQUEST	23		Search	1545818335948	1545818336006	OK	 
USER	Users	28	START	1545818336009	1545818336009
REQUEST	27		Search	1545818335812	1545818336034	OK	 
REQUEST	24		Search	1545818335209	1545818336059	OK	 
REQUEST	26		Search	1545818335959	1545818336058	OK	 
REQUEST	27		Search	1545818336039	1545818336103	OK	 
REQUEST	24		Search	1545818336065	1545818336138	OK	 
REQUEST	26		Search	1545818336066	1545818336164	OK	 
REQUEST	23		Search	1545818336009	1545818336193	OK	 
USER	Users	23	END	1545818335011	1545818336198
REQUEST	28		Search	1545818336010	1545818336203	OK	 
USER	Users	29	START	1545818336209	1545818336209
REQUEST	25		Search	1545818336004	1545818336219	OK	 
REQUEST	26		Search	1545818336167	1545818336227	OK	 
REQUEST	27		Search	1545818336105	1545818336268	OK	 
REQUEST	29		Search	1545818336210	1545818336286	OK	 
REQUEST	27		Search	1545818336276	1545818336350	OK	 
REQUEST	25		Search	1545818336222	1545818336352	OK	 
REQUEST	29		Search	1545818336290	1545818336376	OK	 
REQUEST	26		Search	1545818336232	1545818336390	OK	 
USER	Users	26	END	1545818335610	1545818336408
USER	Users	30	START	1545818336409	1545818336409
REQUEST	25		Search	1545818336359	1545818336431	OK	 
USER	Users	25	END	1545818335408	1545818336435
REQUEST	27		Search	1545818336352	1545818336475	OK	 
USER	Users	27	END	1545818335809	1545818336479
REQUEST	30		Search	1545818336410	1545818336492	OK	 
REQUEST	29		Search	1545818336378	1545818336481	OK	 
REQUEST	28		Search	1545818336206	1545818336472	OK	 
REQUEST	30		Search	1545818336493	1545818336582	OK	 
REQUEST	28		Search	1545818336530	1545818336583	OK	 
REQUEST	29		Search	1545818336522	1545818336598	OK	 
USER	Users	31	START	1545818336609	1545818336609
REQUEST	24		Search	1545818336143	1545818336488	OK	 
REQUEST	29		Search	1545818336600	1545818336635	OK	 
USER	Users	29	END	1545818336209	1545818336636
REQUEST	28		Search	1545818336588	1545818336670	OK	 
REQUEST	31		Search	1545818336609	1545818336703	OK	 
REQUEST	24		Search	1545818336618	1545818336724	OK	 
REQUEST	30		Search	1545818336586	1545818336734	OK	 
REQUEST	28		Search	1545818336673	1545818336754	OK	 
USER	Users	28	END	1545818336009	1545818336757
REQUEST	24		Search	1545818336729	1545818336782	OK	 
USER	Users	24	END	1545818335208	1545818336785
USER	Users	32	START	1545818336810	1545818336810
REQUEST	31		Search	1545818336705	1545818336816	OK	 
REQUEST	32		Search	1545818336810	1545818336838	OK	 
REQUEST	31		Search	1545818336829	1545818336855	OK	 
REQUEST	30		Search	1545818336749	1545818336876	OK	 
REQUEST	30		Search	1545818336880	1545818336913	OK	 
USER	Users	30	END	1545818336409	1545818336919
REQUEST	31		Search	1545818336857	1545818336932	OK	 
REQUEST	31		Search	1545818336935	1545818336987	OK	 
USER	Users	31	END	1545818336609	1545818336988
USER	Users	33	START	1545818337009	1545818337009
REQUEST	32		Search	1545818336840	1545818337010	OK	 
USER	Users	34	START	1545818337208	1545818337208
REQUEST	32		Search	1545818337012	1545818337297	OK	 
REQUEST	33		Search	1545818337010	1545818337297	OK	 
REQUEST	34		Search	1545818337209	1545818337332	OK	 
REQUEST	33		Search	1545818337300	1545818337352	OK	 
REQUEST	34		Search	1545818337339	1545818337364	OK	 
REQUEST	32		Search	1545818337300	1545818337396	OK	 
REQUEST	33		Search	1545818337363	1545818337405	OK	 
USER	Users	35	START	1545818337409	1545818337409
REQUEST	33		Search	1545818337408	1545818337435	OK	 
REQUEST	34		Search	1545818337370	1545818337457	OK	 
REQUEST	32		Search	1545818337398	1545818337456	OK	 
USER	Users	32	END	1545818336810	1545818337467
REQUEST	33		Search	1545818337437	1545818337487	OK	 
USER	Users	33	END	1545818337009	1545818337488
REQUEST	35		Search	1545818337409	1545818337489	OK	 
REQUEST	34		Search	1545818337465	1545818337547	OK	 
REQUEST	35		Search	1545818337494	1545818337567	OK	 
USER	Users	36	START	1545818337610	1545818337610
REQUEST	34		Search	1545818337549	1545818337630	OK	 
USER	Users	34	END	1545818337208	1545818337633
REQUEST	36		Search	1545818337611	1545818337661	OK	 
REQUEST	36		Search	1545818337662	1545818337709	OK	 
REQUEST	36		Search	1545818337711	1545818337773	OK	 
REQUEST	36		Search	1545818337774	1545818337792	OK	 
USER	Users	37	START	1545818337816	1545818337816
REQUEST	35		Search	1545818337572	1545818337792	OK	 
REQUEST	36		Search	1545818337794	1545818337860	OK	 
USER	Users	36	END	1545818337610	1545818337862
REQUEST	35		Search	1545818337839	1545818337861	OK	 
REQUEST	37		Search	1545818337817	1545818337901	OK	 
REQUEST	37		Search	1545818337905	1545818337933	OK	 
REQUEST	35		Search	1545818337864	1545818337944	OK	 
USER	Users	35	END	1545818337409	1545818337946
REQUEST	37		Search	1545818337934	1545818337992	OK	 
USER	Users	38	START	1545818338010	1545818338010
REQUEST	37		Search	1545818337993	1545818338087	OK	 
REQUEST	37		Search	1545818338092	1545818338144	OK	 
USER	Users	37	END	1545818337816	1545818338146
USER	Users	39	START	1545818338211	1545818338211
REQUEST	39		Search	1545818338211	1545818338228	OK	 
REQUEST	39		Search	1545818338230	1545818338271	OK	 
REQUEST	38		Search	1545818338011	1545818338272	OK	 
REQUEST	39		Search	1545818338272	1545818338339	OK	 
REQUEST	38		Search	1545818338302	1545818338343	OK	 
REQUEST	39		Search	1545818338340	1545818338373	OK	 
REQUEST	38		Search	1545818338346	1545818338380	OK	 
USER	Users	40	START	1545818338409	1545818338409
REQUEST	38		Search	1545818338381	1545818338408	OK	 
REQUEST	38		Search	1545818338411	1545818338442	OK	 
USER	Users	38	END	1545818338010	1545818338443
REQUEST	39		Search	1545818338375	1545818338444	OK	 
USER	Users	39	END	1545818338211	1545818338446
REQUEST	40		Search	1545818338409	1545818338510	OK	 
REQUEST	40		Search	1545818338524	1545818338581	OK	 
USER	Users	41	START	1545818338608	1545818338608
REQUEST	40		Search	1545818338583	1545818338619	OK	 
REQUEST	41		Search	1545818338609	1545818338687	OK	 
USER	Users	42	START	1545818338809	1545818338809
REQUEST	42		Search	1545818338810	1545818339004	OK	 
USER	Users	43	START	1545818339009	1545818339009
REQUEST	41		Search	1545818338692	1545818339049	OK	 
REQUEST	42		Search	1545818339009	1545818339117	OK	 
REQUEST	42		Search	1545818339120	1545818339177	OK	 
REQUEST	43		Search	1545818339009	1545818339183	OK	 
USER	Users	44	START	1545818339209	1545818339209
REQUEST	41		Search	1545818339060	1545818339243	OK	 
REQUEST	43		Search	1545818339185	1545818339249	OK	 
REQUEST	43		Search	1545818339250	1545818339283	OK	 
REQUEST	40		Search	1545818338621	1545818339213	OK	 
REQUEST	43		Search	1545818339285	1545818339328	OK	 
REQUEST	41		Search	1545818339247	1545818339328	OK	 
REQUEST	41		Search	1545818339329	1545818339393	OK	 
USER	Users	41	END	1545818338608	1545818339394
REQUEST	44		Search	1545818339211	1545818339400	OK	 
REQUEST	40		Search	1545818339329	1545818339404	OK	 
USER	Users	40	END	1545818338409	1545818339408
USER	Users	45	START	1545818339411	1545818339411
REQUEST	43		Search	1545818339329	1545818339440	OK	 
USER	Users	43	END	1545818339009	1545818339445
REQUEST	45		Search	1545818339412	1545818339498	OK	 
REQUEST	44		Search	1545818339403	1545818339530	OK	 
REQUEST	44		Search	1545818339537	1545818339578	OK	 
REQUEST	42		Search	1545818339180	1545818339535	OK	 
REQUEST	45		Search	1545818339503	1545818339598	OK	 
USER	Users	46	START	1545818339610	1545818339610
REQUEST	44		Search	1545818339580	1545818339657	OK	 
REQUEST	46		Search	1545818339611	1545818339658	OK	 
REQUEST	46		Search	1545818339661	1545818339695	OK	 
REQUEST	45		Search	1545818339601	1545818339698	OK	 
REQUEST	42		Search	1545818339593	1545818339710	OK	 
USER	Users	42	END	1545818338809	1545818339714
REQUEST	44		Search	1545818339659	1545818339744	OK	 
USER	Users	44	END	1545818339209	1545818339747
REQUEST	45		Search	1545818339705	1545818339763	OK	 
REQUEST	46		Search	1545818339699	1545818339773	OK	 
USER	Users	47	START	1545818339810	1545818339810
REQUEST	45		Search	1545818339769	1545818339812	OK	 
USER	Users	45	END	1545818339411	1545818339813
REQUEST	47		Search	1545818339811	1545818339862	OK	 
REQUEST	46		Search	1545818339776	1545818339876	OK	 
REQUEST	47		Search	1545818339865	1545818339899	OK	 
REQUEST	47		Search	1545818339901	1545818339921	OK	 
REQUEST	46		Search	1545818339893	1545818339955	OK	 
USER	Users	46	END	1545818339610	1545818339956
REQUEST	47		Search	1545818339923	1545818339971	OK	 
USER	Users	48	START	1545818340008	1545818340008
REQUEST	47		Search	1545818339973	1545818340010	OK	 
USER	Users	47	END	1545818339810	1545818340012
USER	Users	49	START	1545818340208	1545818340208
REQUEST	49		Search	1545818340209	1545818340236	OK	 
REQUEST	48		Search	1545818340009	1545818340269	OK	 
REQUEST	48		Search	1545818340272	1545818340289	OK	 
REQUEST	49		Search	1545818340237	1545818340291	OK	 
REQUEST	48		Search	1545818340290	1545818340316	OK	 
REQUEST	48		Search	1545818340317	1545818340339	OK	 
REQUEST	49		Search	1545818340295	1545818340362	OK	 
REQUEST	49		Search	1545818340365	1545818340405	OK	 
USER	Users	50	START	1545818340409	1545818340409
REQUEST	48		Search	1545818340340	1545818340416	OK	 
USER	Users	48	END	1545818340008	1545818340422
REQUEST	50		Search	1545818340410	1545818340445	OK	 
