RUN	SolrFacetQueryTraffic	solrfacetquerytraffic	1545818512781	 	3.0.1
USER	Users	1	START	1545818515537	1545818515537
USER	Users	2	START	1545818515692	1545818515692
REQUEST	1		Search	1545818515596	1545818515647	OK	 
REQUEST	2		Search	1545818515693	1545818515744	OK	 
USER	Users	3	START	1545818515834	1545818515834
REQUEST	3		Search	1545818515835	1545818515868	OK	 
REQUEST	2		Search	1545818515762	1545818515819	OK	 
REQUEST	1		Search	1545818515761	1545818515844	OK	 
REQUEST	3		Search	1545818515870	1545818515947	OK	 
REQUEST	2		Search	1545818515902	1545818515951	OK	 
USER	Users	4	START	1545818515972	1545818515972
REQUEST	1		Search	1545818515929	1545818515980	OK	 
REQUEST	2		Search	1545818515955	1545818516026	OK	 
REQUEST	4		Search	1545818515975	1545818516038	OK	 
REQUEST	1		Search	1545818515986	1545818516098	OK	 
USER	Users	5	START	1545818516121	1545818516121
REQUEST	4		Search	1545818516045	1545818516136	OK	 
REQUEST	1		Search	1545818516101	1545818516166	OK	 
USER	Users	1	END	1545818515537	1545818516174
REQUEST	2		Search	1545818516029	1545818516211	OK	 
USER	Users	2	END	1545818515692	1545818516221
REQUEST	4		Search	1545818516142	1545818516220	OK	 
USER	Users	6	START	1545818516262	1545818516262
REQUEST	5		Search	1545818516123	1545818516281	OK	 
REQUEST	3		Search	1545818515950	1545818516267	OK	 
USER	Users	7	START	1545818516402	1545818516402
REQUEST	4		Search	1545818516226	1545818516456	OK	 
REQUEST	6		Search	1545818516264	1545818516495	OK	 
REQUEST	3		Search	1545818516313	1545818516500	OK	 
REQUEST	7		Search	1545818516404	1545818516547	OK	 
USER	Users	8	START	1545818516552	1545818516552
REQUEST	4		Search	1545818516468	1545818516600	OK	 
USER	Users	4	END	1545818515972	1545818516603
REQUEST	6		Search	1545818516501	1545818516623	OK	 
REQUEST	8		Search	1545818516553	1545818516670	OK	 
USER	Users	9	START	1545818516692	1545818516692
REQUEST	5		Search	1545818516284	1545818516734	OK	 
USER	Users	10	START	1545818516832	1545818516832
USER	Users	11	START	1545818516972	1545818516972
REQUEST	3		Search	1545818516510	1545818517043	OK	 
USER	Users	3	END	1545818515834	1545818517045
REQUEST	7		Search	1545818516549	1545818517047	OK	 
REQUEST	8		Search	1545818516672	1545818517078	OK	 
USER	Users	12	START	1545818517122	1545818517122
REQUEST	5		Search	1545818516770	1545818517257	OK	 
USER	Users	13	START	1545818517263	1545818517263
REQUEST	11		Search	1545818516973	1545818517332	OK	 
USER	Users	14	START	1545818517402	1545818517402
REQUEST	6		Search	1545818516626	1545818517465	OK	 
REQUEST	10		Search	1545818516834	1545818517513	OK	 
USER	Users	15	START	1545818517552	1545818517552
REQUEST	9		Search	1545818516693	1545818517667	OK	 
REQUEST	12		Search	1545818517123	1545818517672	OK	 
USER	Users	16	START	1545818517681	1545818517681
REQUEST	13		Search	1545818517265	1545818517698	OK	 
REQUEST	11		Search	1545818517335	1545818517714	OK	 
REQUEST	5		Search	1545818517260	1545818517719	OK	 
REQUEST	6		Search	1545818517472	1545818517764	OK	 
REQUEST	12		Search	1545818517675	1545818517769	OK	 
REQUEST	9		Search	1545818517674	1545818517807	OK	 
USER	Users	17	START	1545818517823	1545818517823
REQUEST	9		Search	1545818517810	1545818517829	OK	 
REQUEST	14		Search	1545818517403	1545818517860	OK	 
REQUEST	8		Search	1545818517081	1545818517878	OK	 
REQUEST	7		Search	1545818517053	1545818517901	OK	 
REQUEST	10		Search	1545818517520	1545818517915	OK	 
REQUEST	12		Search	1545818517772	1545818517929	OK	 
REQUEST	14		Search	1545818517875	1545818517963	OK	 
REQUEST	7		Search	1545818517904	1545818517965	OK	 
USER	Users	18	START	1545818517974	1545818517974
REQUEST	6		Search	1545818517770	1545818518011	OK	 
USER	Users	6	END	1545818516262	1545818518018
REQUEST	16		Search	1545818517683	1545818518026	OK	 
REQUEST	12		Search	1545818517932	1545818518058	OK	 
REQUEST	16		Search	1545818518029	1545818518075	OK	 
REQUEST	17		Search	1545818517824	1545818518094	OK	 
USER	Users	19	START	1545818518113	1545818518113
REQUEST	9		Search	1545818517833	1545818518115	OK	 
REQUEST	8		Search	1545818517887	1545818518114	OK	 
REQUEST	10		Search	1545818517928	1545818518115	OK	 
REQUEST	13		Search	1545818517700	1545818518128	OK	 
REQUEST	14		Search	1545818517965	1545818518132	OK	 
REQUEST	12		Search	1545818518060	1545818518143	OK	 
REQUEST	18		Search	1545818517975	1545818518143	OK	 
USER	Users	12	END	1545818517122	1545818518146
REQUEST	11		Search	1545818517719	1545818518181	OK	 
USER	Users	20	START	1545818518252	1545818518252
REQUEST	5		Search	1545818517721	1545818518252	OK	 
USER	Users	5	END	1545818516121	1545818518257
REQUEST	7		Search	1545818517968	1545818518370	OK	 
USER	Users	7	END	1545818516402	1545818518377
REQUEST	14		Search	1545818518136	1545818518395	OK	 
USER	Users	21	START	1545818518404	1545818518404
REQUEST	11		Search	1545818518219	1545818518446	OK	 
REQUEST	18		Search	1545818518146	1545818518457	OK	 
REQUEST	16		Search	1545818518078	1545818518507	OK	 
REQUEST	9		Search	1545818518119	1545818518523	OK	 
USER	Users	9	END	1545818516692	1545818518525
USER	Users	22	START	1545818518541	1545818518541
REQUEST	13		Search	1545818518131	1545818518525	OK	 
REQUEST	19		Search	1545818518114	1545818518564	OK	 
USER	Users	23	START	1545818518682	1545818518682
REQUEST	23		Search	1545818518683	1545818518733	OK	 
REQUEST	21		Search	1545818518405	1545818518764	OK	 
REQUEST	19		Search	1545818518592	1545818518766	OK	 
REQUEST	17		Search	1545818518104	1545818518772	OK	 
REQUEST	10		Search	1545818518130	1545818518776	OK	 
REQUEST	8		Search	1545818518125	1545818518790	OK	 
USER	Users	8	END	1545818516552	1545818518799
REQUEST	16		Search	1545818518513	1545818518799	OK	 
USER	Users	24	START	1545818518822	1545818518822
REQUEST	14		Search	1545818518397	1545818518851	OK	 
USER	Users	14	END	1545818517402	1545818518855
REQUEST	18		Search	1545818518459	1545818518859	OK	 
REQUEST	20		Search	1545818518253	1545818518885	OK	 
REQUEST	10		Search	1545818518783	1545818518956	OK	 
USER	Users	10	END	1545818516832	1545818518958
REQUEST	23		Search	1545818518738	1545818518956	OK	 
REQUEST	22		Search	1545818518543	1545818518959	OK	 
REQUEST	18		Search	1545818518863	1545818518959	OK	 
USER	Users	25	START	1545818518972	1545818518972
REQUEST	17		Search	1545818518776	1545818519012	OK	 
REQUEST	15		Search	1545818517553	1545818518729	OK	 
REQUEST	18		Search	1545818518969	1545818519097	OK	 
USER	Users	18	END	1545818517974	1545818519104
USER	Users	26	START	1545818519112	1545818519112
REQUEST	17		Search	1545818519041	1545818519128	OK	 
REQUEST	19		Search	1545818518772	1545818519181	OK	 
REQUEST	24		Search	1545818518823	1545818519190	OK	 
REQUEST	21		Search	1545818518767	1545818519216	OK	 
REQUEST	11		Search	1545818518449	1545818519222	OK	 
USER	Users	11	END	1545818516972	1545818519224
REQUEST	13		Search	1545818518551	1545818519236	OK	 
USER	Users	27	START	1545818519254	1545818519254
REQUEST	16		Search	1545818518803	1545818519266	OK	 
USER	Users	16	END	1545818517681	1545818519269
REQUEST	20		Search	1545818518887	1545818519277	OK	 
REQUEST	17		Search	1545818519137	1545818519284	OK	 
USER	Users	17	END	1545818517823	1545818519291
REQUEST	22		Search	1545818518969	1545818519324	OK	 
REQUEST	23		Search	1545818518968	1545818519381	OK	 
REQUEST	26		Search	1545818519113	1545818519344	OK	 
USER	Users	28	START	1545818519402	1545818519402
REQUEST	13		Search	1545818519249	1545818519435	OK	 
USER	Users	13	END	1545818517263	1545818519436
REQUEST	26		Search	1545818519392	1545818519477	OK	 
REQUEST	21		Search	1545818519219	1545818519478	OK	 
REQUEST	15		Search	1545818519097	1545818519473	OK	 
REQUEST	19		Search	1545818519188	1545818519499	OK	 
REQUEST	24		Search	1545818519195	1545818519525	OK	 
USER	Users	29	START	1545818519542	1545818519542
USER	Users	30	START	1545818519681	1545818519681
REQUEST	21		Search	1545818519481	1545818519703	OK	 
REQUEST	23		Search	1545818519382	1545818519727	OK	 
REQUEST	22		Search	1545818519333	1545818519756	OK	 
REQUEST	30		Search	1545818519682	1545818519758	OK	 
REQUEST	27		Search	1545818519255	1545818519772	OK	 
REQUEST	20		Search	1545818519281	1545818519796	OK	 
REQUEST	24		Search	1545818519527	1545818519805	OK	 
REQUEST	15		Search	1545818519481	1545818519808	OK	 
USER	Users	31	START	1545818519822	1545818519822
REQUEST	22		Search	1545818519758	1545818519844	OK	 
REQUEST	28		Search	1545818519403	1545818519881	OK	 
REQUEST	26		Search	1545818519479	1545818519880	OK	 
REQUEST	20		Search	1545818519805	1545818519922	OK	 
REQUEST	29		Search	1545818519543	1545818519926	OK	 
REQUEST	23		Search	1545818519729	1545818519928	OK	 
USER	Users	23	END	1545818518682	1545818519930
REQUEST	28		Search	1545818519883	1545818519928	OK	 
USER	Users	32	START	1545818519973	1545818519973
REQUEST	19		Search	1545818519501	1545818519979	OK	 
USER	Users	19	END	1545818518113	1545818519981
REQUEST	31		Search	1545818519824	1545818520014	OK	 
REQUEST	21		Search	1545818519708	1545818520034	OK	 
USER	Users	21	END	1545818518404	1545818520037
REQUEST	31		Search	1545818520022	1545818520054	OK	 
REQUEST	30		Search	1545818519760	1545818520069	OK	 
REQUEST	32		Search	1545818519974	1545818520082	OK	 
REQUEST	31		Search	1545818520056	1545818520099	OK	 
USER	Users	33	START	1545818520113	1545818520113
REQUEST	20		Search	1545818519924	1545818520142	OK	 
USER	Users	20	END	1545818518252	1545818520145
REQUEST	15		Search	1545818519811	1545818520148	OK	 
REQUEST	31		Search	1545818520102	1545818520176	OK	 
REQUEST	24		Search	1545818519808	1545818520226	OK	 
USER	Users	34	START	1545818520251	1545818520251
REQUEST	28		Search	1545818519932	1545818520245	OK	 
REQUEST	27		Search	1545818519776	1545818520270	OK	 
REQUEST	15		Search	1545818520151	1545818520302	OK	 
USER	Users	15	END	1545818517552	1545818520303
REQUEST	28		Search	1545818520259	1545818520334	OK	 
REQUEST	29		Search	1545818519928	1545818520346	OK	 
REQUEST	33		Search	1545818520114	1545818520383	OK	 
REQUEST	32		Search	1545818520087	1545818520366	OK	 
USER	Users	35	START	1545818520449	1545818520449
REQUEST	30		Search	1545818520074	1545818520449	OK	 
REQUEST	22		Search	1545818519849	1545818520276	OK	 
USER	Users	22	END	1545818518541	1545818520474
REQUEST	28		Search	1545818520336	1545818520496	OK	 
USER	Users	28	END	1545818519402	1545818520503
REQUEST	26		Search	1545818519884	1545818520449	OK	 
REQUEST	29		Search	1545818520367	1545818520531	OK	 
USER	Users	36	START	1545818520543	1545818520543
REQUEST	31		Search	1545818520178	1545818520541	OK	 
USER	Users	31	END	1545818519822	1545818520546
REQUEST	24		Search	1545818520231	1545818520551	OK	 
USER	Users	24	END	1545818518822	1545818520559
REQUEST	25		Search	1545818518973	1545818520280	OK	 
REQUEST	34		Search	1545818520252	1545818520639	OK	 
REQUEST	30		Search	1545818520455	1545818520646	OK	 
USER	Users	37	START	1545818520681	1545818520681
REQUEST	29		Search	1545818520532	1545818520748	OK	 
REQUEST	37		Search	1545818520682	1545818520750	OK	 
REQUEST	35		Search	1545818520450	1545818520754	OK	 
REQUEST	36		Search	1545818520544	1545818520754	OK	 
REQUEST	32		Search	1545818520433	1545818520802	OK	 
USER	Users	38	START	1545818520824	1545818520824
REQUEST	27		Search	1545818520274	1545818520855	OK	 
REQUEST	33		Search	1545818520415	1545818520861	OK	 
REQUEST	25		Search	1545818520594	1545818520890	OK	 
REQUEST	29		Search	1545818520750	1545818520892	OK	 
USER	Users	29	END	1545818519542	1545818520895
REQUEST	37		Search	1545818520753	1545818520905	OK	 
REQUEST	34		Search	1545818520643	1545818520916	OK	 
REQUEST	35		Search	1545818520757	1545818520919	OK	 
REQUEST	30		Search	1545818520649	1545818520965	OK	 
USER	Users	30	END	1545818519681	1545818520967
USER	Users	39	START	1545818520971	1545818520971
REQUEST	26		Search	1545818520504	1545818520973	OK	 
USER	Users	26	END	1545818519112	1545818520975
REQUEST	36		Search	1545818520757	1545818520981	OK	 
REQUEST	27		Search	1545818520858	1545818520988	OK	 
REQUEST	32		Search	1545818520805	1545818521027	OK	 
REQUEST	27		Search	1545818521000	1545818521069	OK	 
USER	Users	27	END	1545818519254	1545818521072
REQUEST	33		Search	1545818520873	1545818521078	OK	 
REQUEST	32		Search	1545818521031	1545818521087	OK	 
USER	Users	32	END	1545818519973	1545818521090
REQUEST	34		Search	1545818520918	1545818521089	OK	 
REQUEST	38		Search	1545818520824	1545818521098	OK	 
USER	Users	40	START	1545818521112	1545818521112
REQUEST	37		Search	1545818520908	1545818521118	OK	 
REQUEST	35		Search	1545818520927	1545818521137	OK	 
REQUEST	34		Search	1545818521092	1545818521205	OK	 
REQUEST	25		Search	1545818520894	1545818521203	OK	 
REQUEST	37		Search	1545818521120	1545818521230	OK	 
USER	Users	41	START	1545818521254	1545818521254
REQUEST	34		Search	1545818521208	1545818521273	OK	 
USER	Users	34	END	1545818520251	1545818521275
REQUEST	33		Search	1545818521079	1545818521285	OK	 
REQUEST	39		Search	1545818520972	1545818521310	OK	 
REQUEST	40		Search	1545818521113	1545818521313	OK	 
REQUEST	39		Search	1545818521314	1545818521335	OK	 
REQUEST	25		Search	1545818521208	1545818521365	OK	 
REQUEST	33		Search	1545818521287	1545818521384	OK	 
USER	Users	33	END	1545818520113	1545818521386
REQUEST	39		Search	1545818521338	1545818521386	OK	 
USER	Users	42	START	1545818521402	1545818521402
REQUEST	38		Search	1545818521105	1545818521416	OK	 
REQUEST	39		Search	1545818521387	1545818521428	OK	 
REQUEST	37		Search	1545818521234	1545818521429	OK	 
USER	Users	37	END	1545818520681	1545818521433
USER	Users	43	START	1545818521541	1545818521541
REQUEST	35		Search	1545818521141	1545818521599	OK	 
REQUEST	36		Search	1545818520985	1545818521568	OK	 
REQUEST	35		Search	1545818521602	1545818521626	OK	 
USER	Users	35	END	1545818520449	1545818521628
REQUEST	39		Search	1545818521430	1545818521630	OK	 
