RUN	SolrQueryTraffic	solrquerytraffic	1545814412295	 	3.0.1
USER	Users	1	START	1545814445512	1545814445512
REQUEST	1		Search	1545814445568	1545814445922	OK	 
REQUEST	1		Search	1545814446059	1545814446216	OK	 
USER	Users	1	END	1545814445512	1545814446262
USER	Users	2	START	1545814446525	1545814446525
REQUEST	2		Search	1545814446526	1545814446755	OK	 
USER	Users	3	START	1545814447534	1545814447534
REQUEST	3		Search	1545814447535	1545814448233	OK	 
USER	Users	4	START	1545814448514	1545814448514
REQUEST	4		Search	1545814448515	1545814448950	OK	 
USER	Users	5	START	1545814449513	1545814449513
REQUEST	5		Search	1545814449515	1545814449654	OK	 
USER	Users	6	START	1545814450513	1545814450513
USER	Users	7	START	1545814451778	1545814451778
REQUEST	7		Search	1545814451779	1545814451913	OK	 
REQUEST	7		Search	1545814451919	1545814452235	OK	 
USER	Users	7	END	1545814451778	1545814452254
USER	Users	8	START	1545814452503	1545814452503
USER	Users	9	START	1545814453504	1545814453504
REQUEST	9		Search	1545814453505	1545814453720	OK	 
REQUEST	2		Search	1545814446762	1545814450227	OK	 
USER	Users	2	END	1545814446525	1545814453993
REQUEST	3		Search	1545814448326	1545814452263	OK	 
USER	Users	3	END	1545814447534	1545814454372
USER	Users	10	START	1545814454513	1545814454513
REQUEST	9		Search	1545814453745	1545814454496	OK	 
USER	Users	9	END	1545814453504	1545814454530
REQUEST	10		Search	1545814454514	1545814454576	OK	 
REQUEST	8		Search	1545814452504	1545814454722	OK	 
USER	Users	11	START	1545814455513	1545814455513
REQUEST	10		Search	1545814454578	1545814455481	OK	 
USER	Users	10	END	1545814454513	1545814455606
REQUEST	11		Search	1545814455514	1545814455622	OK	 
REQUEST	11		Search	1545814455625	1545814455695	OK	 
USER	Users	11	END	1545814455513	1545814455697
USER	Users	12	START	1545814456013	1545814456013
USER	Users	13	START	1545814456513	1545814456513
USER	Users	14	START	1545814458090	1545814458090
USER	Users	15	START	1545814458503	1545814458503
REQUEST	15		Search	1545814458505	1545814458679	OK	 
REQUEST	15		Search	1545814458689	1545814458763	OK	 
USER	Users	15	END	1545814458503	1545814458769
REQUEST	12		Search	1545814456014	1545814458342	OK	 
USER	Users	16	START	1545814459880	1545814459880
USER	Users	17	START	1545814460503	1545814460503
REQUEST	17		Search	1545814460504	1545814460630	OK	 
USER	Users	18	START	1545814461013	1545814461013
REQUEST	18		Search	1545814461015	1545814461171	OK	 
USER	Users	19	START	1545814461513	1545814461513
REQUEST	8		Search	1545814454889	1545814458364	OK	 
USER	Users	8	END	1545814452503	1545814461579
USER	Users	20	START	1545814462529	1545814462529
USER	Users	21	START	1545814463503	1545814463503
USER	Users	22	START	1545814464343	1545814464343
USER	Users	23	START	1545814464513	1545814464513
REQUEST	23		Search	1545814464514	1545814464824	OK	 
REQUEST	12		Search	1545814459032	1545814462621	OK	 
USER	Users	12	END	1545814456013	1545814465062
USER	Users	24	START	1545814465513	1545814465513
REQUEST	23		Search	1545814464879	1545814465496	OK	 
USER	Users	23	END	1545814464513	1545814465562
USER	Users	25	START	1545814466701	1545814466701
REQUEST	13		Search	1545814456514	1545814462093	OK	 
USER	Users	26	START	1545814467004	1545814467004
USER	Users	27	START	1545814467503	1545814467503
REQUEST	16		Search	1545814459881	1545814464948	OK	 
REQUEST	14		Search	1545814458091	1545814462815	OK	 
REQUEST	16		Search	1545814467902	1545814468462	OK	 
USER	Users	16	END	1545814459880	1545814468579
USER	Users	28	START	1545814468578	1545814468578
REQUEST	5		Search	1545814449660	1545814460528	OK	 
USER	Users	5	END	1545814449513	1545814469065
REQUEST	19		Search	1545814461514	1545814465576	OK	 
USER	Users	29	START	1545814469504	1545814469504
REQUEST	18		Search	1545814461184	1545814465901	OK	 
USER	Users	18	END	1545814461013	1545814469749
USER	Users	30	START	1545814470013	1545814470013
USER	Users	31	START	1545814470514	1545814470514
REQUEST	26		Search	1545814467005	1545814470077	OK	 
REQUEST	4		Search	1545814448987	1545814457468	OK	 
USER	Users	4	END	1545814448514	1545814470721
REQUEST	31		Search	1545814470515	1545814471457	OK	 
REQUEST	19		Search	1545814469388	1545814471458	OK	 
USER	Users	19	END	1545814461513	1545814471462
USER	Users	32	START	1545814471513	1545814471513
USER	Users	33	START	1545814472013	1545814472013
REQUEST	20		Search	1545814462530	1545814472022	OK	 
REQUEST	31		Search	1545814471460	1545814472389	OK	 
USER	Users	31	END	1545814470514	1545814472393
REQUEST	33		Search	1545814472017	1545814472414	OK	 
REQUEST	20		Search	1545814472031	1545814472462	OK	 
USER	Users	20	END	1545814462529	1545814472478
USER	Users	34	START	1545814472513	1545814472513
REQUEST	34		Search	1545814472514	1545814472962	OK	 
REQUEST	32		Search	1545814471514	1545814473051	OK	 
USER	Users	35	START	1545814473513	1545814473513
USER	Users	36	START	1545814474014	1545814474014
USER	Users	37	START	1545814474521	1545814474521
REQUEST	37		Search	1545814474522	1545814474771	OK	 
USER	Users	38	START	1545814475515	1545814475515
REQUEST	35		Search	1545814473515	1545814475602	OK	 
REQUEST	37		Search	1545814475080	1545814475826	OK	 
USER	Users	37	END	1545814474521	1545814475866
REQUEST	38		Search	1545814475518	1545814475860	OK	 
